Smoothness Level,Wave Energy Level,Signal Entropy Level,Count,Group,,,,
Medium,Medium,High,9,Healthy,,HealthyStatusHigh,,
High,Low,Low,6,Healthy,,HealthyStatusMedium,High Low High,
High,Low,High,5,Healthy,,HealthyStatusHigh,,
Low,High,Medium,4,Healthy,,HealthyStatusLow,,
High,Low,Medium,2,Healthy,,HealthyStatusHigh,,
High,Medium,Low,2,Healthy,,HealthyStatusLow,,
Low,High,High,2,Healthy,,HealthyStatusLow,,
Low,High,Low,2,Healthy,,HealthyStatusLow,,
Medium,Low,Low,2,Healthy,,HealthyStatusLow,,
Low,Low,Low,1,Healthy,,HealthyStatusLow,,
Medium,Medium,Medium,1,Healthy,,HealthyStatusMedium,,
Low,High,High,5,Parkinsonian,,ParkinsonianSeverityMedium,,Low High Low
Low,High,Low,5,Parkinsonian,,ParkinsonianSeverityHigh,,
Low,High,Medium,4,Parkinsonian,,ParkinsonianSeverityHigh,,
High,Low,Low,4,Parkinsonian,,ParkinsonianSeverityLow,,
Medium,Medium,Low,3,Parkinsonian,,ParkinsonianSeverityMedium,,
High,Low,High,2,Parkinsonian,,ParkinsonianSeverityLow,,
Medium,Medium,High,2,Parkinsonian,,ParkinsonianSeverityLow,,
High,Medium,Low,2,Parkinsonian,,ParkinsonianSeverityLow,,
Medium,High,Low,1,Parkinsonian,,ParkinsonianSeverityHigh,,
Medium,Low,Medium,1,Parkinsonian,,ParkinsonianSeverityMedium,,
Medium,High,Medium,1,Parkinsonian,,ParkinsonianSeverityMedium,,
Low,Low,Low,1,Parkinsonian,,ParkinsonianSeverityMedium,,
Low,Medium,Low,1,Parkinsonian,,ParkinsonianSeverityMedium,,
Low,Medium,High,1,Parkinsonian,,ParkinsonianSeverityLow,,
High,Medium,High,1,Parkinsonian,,ParkinsonianSeverityLow,,
High,Low,Medium,1,Parkinsonian,,ParkinsonianSeverityLow,,
Medium,Medium,Medium,1,Parkinsonian,,ParkinsonianSeverityMedium,,
