Smoothness Level,Signal Entropy Level,Kurtosis Level,Count,Group,
High,High,Low,7,Healthy,HealthyStatusHigh
Low,High,Medium,6,Healthy,HealthyStatusMedium
High,Medium,Low,5,Healthy,HealthyStatusHigh
High,Low,High,3,Healthy,HealthyStatusMedium
High,Medium,Medium,3,Healthy,HealthyStatusMedium
Low,High,Low,3,Healthy,HealthyStatusMedium
High,Low,Medium,2,Healthy,HealthyStatusLow
Low,Medium,High,2,Healthy,HealthyStatusLow
Medium,High,Low,2,Healthy,HealthyStatusMedium
High,High,Medium,1,Healthy,HealthyStatusMedium
Low,Medium,Medium,1,Healthy,HealthyStatusLow
Medium,Medium,Medium,1,Healthy,HealthyStatusMedium
Low,Low,High,6,Parkinsonian,ParkinsonianSeverityHigh
High,Medium,High,4,Parkinsonian,ParkinsonianSeverityMedium
Medium,Low,High,4,Parkinsonian,ParkinsonianSeverityHigh
Low,High,Low,3,Parkinsonian,ParkinsonianSeverityLow
High,Low,Medium,2,Parkinsonian,ParkinsonianSeverityLow
High,Medium,Low,2,Parkinsonian,ParkinsonianSeverityLow
High,Medium,Medium,2,Parkinsonian,ParkinsonianSeverityLow
Low,High,High,2,Parkinsonian,ParkinsonianSeverityMedium
Low,Low,Medium,2,Parkinsonian,ParkinsonianSeverityHigh
Medium,High,Medium,1,Parkinsonian,ParkinsonianSeverityLow
Medium,Medium,High,1,Parkinsonian,ParkinsonianSeverityMedium
Medium,Low,Medium,1,Parkinsonian,ParkinsonianSeverityMedium
High,High,Low,1,Parkinsonian,ParkinsonianSeverityLow
Low,Medium,Medium,1,Parkinsonian,ParkinsonianSeverityMedium
Low,Medium,High,1,Parkinsonian,ParkinsonianSeverityLow
High,Low,High,1,Parkinsonian,ParkinsonianSeverityMedium
Low,High,Medium,1,Parkinsonian,ParkinsonianSeverityLow
Medium,Medium,Medium,1,Parkinsonian,ParkinsonianSeverityMedium
