Feature,Set,A,B,C
Signal Entropy,Low,2.142051211278923,2.247264911900847,2.2707528334295066
Signal Entropy,Medium,2.2658986445926135,2.276484112473386,2.284394070887246
Signal Entropy,High,2.282196474431723,2.29157044945846,2.3013141396479404
Smoothness,Low,0.0070465771631128,0.01888213322003772,0.02710249528145136
Smoothness,Medium,0.02507847648558122,0.0321178532487212,0.038902842589393125
Smoothness,High,0.03660375735476498,0.0460329743845352,0.0596805897194272
Kurtosis,Low,-1.3189138302679675,-1.2388535663499702,-1.1600340035098917
Kurtosis,Medium,-1.1783007968766317,-1.1290600913607545,-1.0678243354384218
Kurtosis,High,-1.0896350347247266,-0.9816572717571571,-0.5637564486641526
